,smiles,frequency
0,N,1625
1,C,1431
2,O,1318
3,C1=CC=CC=C1,1296
4,C=O,1228
5,CC,804
6,C=C,515
7,CCC,452
8,Cl,403
9,S,295
10,F,285
11,C=N,195
12,CCCCC,172
13,CCCC,149
14,[CH][CH],103
15,C1=CC=NC=C1,94
16,O=S=O,90
17,CC(C)C,81
18,[CH]C,62
19,[O-],58
20,[CH]C(C)C,53
21,C1=CSC=N1,41
22,[Cl-],40
23,CCCCCC,40
24,Br,39
25,[CH],38
26,C[CH]C,37
27,C1=CNC=N1,36
28,[H+],35
29,C1=CC2=C(C=C1)NC=C2,34
30,[N+]=O,30
31,C1=CSC=C1,28
32,C#N,27
33,C1CCCCC1,26
34,[CH]CC,25
35,C1=CN=CN=C1,25
36,C1=COC=C1,25
37,C1=CC=C2NC=CC2=C1,25
38,C[CH]CC,24
39,CCC(C)C,23
40,[CH]CCC,22
41,CCCCCCC,21
42,CC1CC1,21
43,C#C,20
44,C1=NN=NN1,17
45,[CH][CH][CH][CH][CH]C,17
46,CCCC(C)C,17
47,C1CC1,17
48,C1=CC=C2C=CC=CC2=C1,17
49,O=S,16
50,[CH][CH]C,16
51,CCC1[CH]CC2(C)CC(C)CC2C1CC,15
52,O=C1NC(=O)C2=C(N=CN2)N1,15
53,C1=CNN=C1,14
54,CCC(C)CC,14
55,CCCC(C)CC,14
56,[N+],14
57,[CH]C[CH][CH][CH]C,13
58,CCC1[CH]CC2(C)C[CH]CC2C1CC,13
59,CCC(CC)CC,13
60,C=S,13
61,C1=NC=NN1,12
62,C1=CON=C1,12
63,[Na+],12
64,CCC(C)C1[CH]CC2(C)CCCC2C1CC,12
65,O=C1C=CNC=C1,12
66,C1=CN=CN1,11
67,C1=CN=C2C=CC=CC2=C1,11
68,O=C1C=CNC2=CC=CC=C12,11
69,C1=CNC=C1,10
70,C1=NC=NO1,10
71,CCC1[CH]CC2(C)CCCC2C1CC,10
72,CC([CH])C[CH]CC,10
73,[CH]CC(C)[CH][CH]C,10
74,O=P,10
75,C1=NN=CS1,9
76,[CH]C(CC)C([CH]C)CC,9
77,CCC1CCC2(C)CCCC2C1CC,9
78,CCC1CCC2(C)CC(C)CC2C1CC,9
79,[CH]CC1C(CC)[CH]CC2(C)CC(C)CC12,9
80,[CH]CC1C(CC)[CH]CC2(C)C[CH]CC12,8
81,C[CH],8
82,C1CCCCCC1,8
83,CC(C)(C)C,8
84,O=C1N=CNC2=C1N=CN2,8
